iter	Passed	Remaining
962	4571	175
963	4572	170
964	4574	165
965	4585	161
966	4587	156
967	4588	151
968	4590	146
969	4592	142
970	4595	137
971	4596	132
972	4597	127
973	4599	122
974	4609	118
975	4612	113
976	4615	108
977	4627	104
978	4629	99
979	4630	94
980	4640	89
981	4643	85
982	4645	80
983	4661	75
984	4664	71
985	4673	66
986	4678	61
987	4691	56
988	4705	52
989	4709	47
990	4721	42
991	4724	38
992	4727	33
993	4730	28
994	4732	23
995	4734	19
996	4745	14
997	4747	9
998	4762	4
999	4764	0
